utc,julian_date_ut,tle_record_index,tle_epoch_utc,tle_age_days,goes18_teme_x_km,goes18_teme_y_km,goes18_teme_z_km,goes18_teme_vx_km_s,goes18_teme_vy_km_s,goes18_teme_vz_km_s,goes18_gcrs_x_km,goes18_gcrs_y_km,goes18_gcrs_z_km,earth_from_goes_x_km,earth_from_goes_y_km,earth_from_goes_z_km,moon_from_goes_x_km,moon_from_goes_y_km,moon_from_goes_z_km,sun_from_goes_x_km,sun_from_goes_y_km,sun_from_goes_z_km
2026-01-01T01:45:00Z,2461041.572916667,34,2026-01-01T03:37:34Z,-0.078179684,41518.860708241,-7339.026169054,0.363650237,0.535358418,3.027887844,-0.000068390,41475.354049001,-7580.314150763,-104.611846194,-41475.354049001,7580.314150763,104.611846194,96432.544854727,299578.671205529,161346.103616904,26205755.914567813,-132794909.167349458,-57567130.525509030
2026-01-01T01:50:00Z,2461041.576388889,34,2026-01-01T03:37:34Z,-0.074707461,41669.518556007,-6428.978608111,0.348207996,0.468992625,3.038871658,-0.000069802,41631.300207316,-6671.158065515,-105.051737127,-41631.300207316,6671.158065515,105.051737127,95972.892809521,298779.834624230,161395.607738937,26214534.651836507,-132794323.037546724,-57566481.941458210
2026-01-01T01:55:00Z,2461041.579861111,34,2026-01-01T03:37:34Z,-0.071235239,41800.232288137,-5515.853969708,0.332111784,0.402402556,3.048400959,-0.000071197,41767.320544935,-5758.808990052,-105.441834349,-41767.320544935,5758.808990052,105.441834349,95533.059266101,297977.581345890,161444.938187607,26223333.215113115,-132793739.605188906,-57565833.192717724
2026-01-01T02:00:00Z,2461041.583333333,34,2026-01-01T03:37:34Z,-0.067763017,41910.939400858,-4600.089306887,0.315364739,0.335620087,3.056471195,-0.000072574,41883.350018159,-4843.703606475,-105.781955778,-41883.350018159,4843.703606475,105.781955778,95113.109490652,297172.347959046,161494.094738380,26232151.669414572,-132793158.433600262,-57565184.279472388
2026-01-01T02:05:00Z,2461041.586805556,34,2026-01-01T03:37:34Z,-0.064290795,42001.586967702,-3682.122933823,0.297970505,0.268677188,3.063078509,-0.000073930,41979.333153069,-3926.279913677,-106.071943060,-41979.333153069,3926.279913677,106.071943060,94713.099201202,296364.572372171,161543.077191847,26240990.070183940,-132792579.084788010,-57564535.201883271
2026-01-01T02:10:00Z,2461041.590277778,34,2026-01-01T03:37:34Z,-0.060818572,42072.131664735,-2762.394215937,0.279933240,0.201605904,3.068219750,-0.000075265,42055.224071969,-3006.977017615,-106.311661639,-42055.224071969,3006.977017615,106.311661639,94333.074494405,295554.693596514,161591.885370547,26249848.463268738,-132792001.119653136,-57563885.960087962
2026-01-01T02:15:00Z,2461041.593750000,34,2026-01-01T03:37:34Z,-0.057346350,42122.539791179,-1841.343359511,0.261257606,0.134438341,3.071892465,-0.000076577,42110.986515235,-2086.234921048,-106.501000822,-42110.986515235,2086.234921048,106.501000822,93973.071869327,294743.151544909,161640.519123007,26258726.884897482,-132791424.098199666,-57563236.554200105
2026-01-01T02:20:00Z,2461041.597222222,34,2026-01-01T03:37:34Z,-0.053874128,42152.787285429,-919.411200908,0.241948778,0.067206653,3.074094905,-0.000077865,42146.593858557,-1164.494312855,-106.639873831,-42146.593858557,1164.494312855,106.639873831,93633.118173924,293930.386812012,161688.978319758,26267625.361659404,-132790847.579746306,-57562586.984309800
2026-01-01T02:25:00Z,2461041.600694444,34,2026-01-01T03:37:34Z,-0.050401906,42162.859736450,2.961004510,0.222012434,-0.000056980,3.074826026,-0.000079127,42162.029125560,-242.196357007,-106.728217840,-42162.029125560,242.196357007,106.728217840,93313.230633371,293116.840474593,161737.262858473,26276543.910513084,-132790271.123133093,-57561937.250481538
2026-01-01T02:30:00Z,2461041.604166667,34,2026-01-01T03:37:34Z,-0.046929684,42152.752390547,925.331793654,0.201454764,-0.067320359,3.074085488,-0.000080363,42157.284995805,680.217518630,-106.765994005,-42157.284995805,-680.217518630,106.765994005,93013.416778837,292302.953864682,161785.372656960,26285482.538735673,-132789694.286941066,-57561287.352758199
2026-01-01T02:35:00Z,2461041.607638889,34,2026-01-01T03:37:34Z,-0.043457461,42122.470153513,1847.259707074,0.180282460,-0.134551287,3.071873655,-0.000081570,42132.363808168,1602.305833677,-106.753187477,-42132.363808168,-1602.305833677,106.753187477,92733.674515871,291489.168373333,161833.307659984,26294441.243956886,-132789116.629696846,-57560637.291157633
2026-01-01T02:40:00Z,2461041.611111111,34,2026-01-01T03:37:34Z,-0.039985239,42072.027588152,2768.303500324,0.158502719,-0.201717584,3.068191596,-0.000082748,42087.277559585,2523.627266601,-106.689807416,-42087.277559585,-2523.627266601,106.689807416,92473.992084104,290675.925232953,161881.067836303,26303420.014162607,-132788537.710082948,-57559987.065672405
2026-01-01T02:45:00Z,2461041.614583333,34,2026-01-01T03:37:34Z,-0.036513017,42001.448907171,3688.022355208,0.136123239,-0.268787100,3.063041083,-0.000083895,42022.047899179,3443.740866001,-106.575886973,-42022.047899179,-3443.740866001,106.575886973,92234.348049933,289863.665300967,161928.653176755,26312418.827655636,-132787957.087157428,-57559336.676273547
2026-01-01T02:50:00Z,2461041.618055556,34,2026-01-01T03:37:34Z,-0.033040795,41910.767961453,4605.976090827,0.113152217,-0.335727733,3.056424594,-0.000085010,41936.706117759,4362.206261718,-106.411483283,-41936.706117759,-4362.206261718,106.411483283,92014.711379860,289052.828860852,161976.063699172,26321437.653131012,-132787374.320554540,-57558686.122905776
2026-01-01T02:55:00Z,2461041.621527778,34,2026-01-01T03:37:34Z,-0.029568572,41800.028223716,5521.725374304,0.089598348,-0.402507441,3.048345304,-0.000086091,41831.293132702,5278.583875658,-106.196677431,-41831.293132702,-5278.583875658,106.196677431,91815.041359779,288243.855395793,162023.299441915,26330476.449628677,-132786788.970704466,-57558035.405491717
2026-01-01T03:00:00Z,2461041.625000000,34,2026-01-01T03:37:34Z,-0.026096350,41669.282767557,6434.831931105,0.065470819,-0.469094263,3.038807092,-0.000087138,41705.859468223,6192.435132226,-105.931574411,-41705.859468223,-6192.435132226,105.931574411,91635.287714619,287437.183393043,162070.360470088,26339535.166593112,-132786200.599038646,-57557384.523929454
2026-01-01T03:05:00Z,2461041.628472222,34,2026-01-01T03:37:34Z,-0.022624128,41518.594241910,7344.858754845,0.040779309,-0.535456328,3.027814534,-0.000088148,41560.465231053,7103.322668277,-105.616303077,-41560.465231053,-7103.322668277,105.616303077,91475.390570858,286633.250126870,162117.246872413,26348613.743895747,-132785608.768199086,-57556733.478092246
