utc,julian_date_ut,goes18_ra_deg,goes18_dec_deg,earth_distance_km,moon_distance_km,sun_distance_km,earth_moon_separation_deg,earth_sun_separation_deg,moon_sun_separation_deg,earth_apparent_radius_deg,earth_exclusion_radius_deg,moon_apparent_radius_deg,moon_exclusion_radius_deg,sun_apparent_radius_deg,sun_exclusion_radius_deg,earth_moon_cap_overlap_sr,earth_sun_cap_overlap_sr,moon_sun_cap_overlap_sr,earth_moon_sun_triple_overlap_sr,total_excluded_sky_sr,visible_sky_fraction,visible_sky_percent
2026-08-26T13:35:00Z,2461279.065972222,41.224662192690,-0.092388408943,42165.692762,394242.109782,151188652.530979,89.526120183,66.684097431,155.344149126,8.690365437,28.690365437,0.252499688,20.000000000,0.263649512,45.000000000,0.000000000000,0.046288223167,0.000000000000,0.000000000000,2.944342702675,0.765696652356,76.569665236
2026-08-26T13:40:00Z,2461279.069444444,42.477988535532,-0.090284566774,42165.676609,395078.405933,151187705.105022,88.375660186,67.910384085,155.396290799,8.690368792,28.690368792,0.251965196,20.000000000,0.263651164,45.000000000,0.000000000000,0.034897450218,0.000000000000,0.000000000000,2.955733652252,0.764790189391,76.479018939
2026-08-26T13:45:00Z,2461279.072916667,43.731315549378,-0.088137241622,42165.659802,395914.513335,151186750.121328,87.227256289,69.137100190,155.450948851,8.690372282,28.690372282,0.251433083,20.000000000,0.263652830,45.000000000,0.000000000000,0.024550572919,0.000000000000,0.000000000000,2.966080713324,0.763966796432,76.396679643
2026-08-26T13:50:00Z,2461279.076388889,44.984643265322,-0.085947578096,42165.642346,396750.055442,151185787.979721,86.080943080,70.364214057,155.508104050,8.690375908,28.690375908,0.250903570,20.000000000,0.263654508,45.000000000,0.000000000000,0.015423187689,0.000000000000,0.000000000000,2.975208289420,0.763240447005,76.324044701
2026-08-26T13:55:00Z,2461279.079861111,46.237971717365,-0.083716740929,42165.624246,397584.658284,151184819.083440,84.936753122,71.591695713,155.567736250,8.690379667,28.690379667,0.250376875,20.000000000,0.263656197,45.000000000,0.000000000000,0.007778104056,0.000000000000,0.000000000000,2.982853570967,0.762632054831,76.263205483
2026-08-26T14:00:00Z,2461279.083333333,47.491300938503,-0.081445913758,42165.605506,398417.950596,151183843.838946,83.794717163,72.819516727,155.629824419,8.690383559,28.690383559,0.249853207,20.000000000,0.263657898,45.000000000,0.000000000000,0.002092122616,0.000000000000,0.000000000000,2.988539757321,0.762179562498,76.217956250
2026-08-26T14:05:00Z,2461279.086805556,48.744630964783,-0.079136297887,42165.586130,399249.563951,151182862.655728,82.654864324,74.047650063,155.694346673,8.690387584,28.690387584,0.249332775,20.000000000,0.263659609,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990632091806,0.762013059810,76.201305981
2026-08-26T14:10:00Z,2461279.090277778,49.997961831374,-0.076789111065,42165.566121,400079.132887,151181875.946113,81.517222294,75.276069935,155.761280304,8.690391739,28.690391739,0.248815777,20.000000000,0.263661330,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990632310590,0.762013042400,76.201304240
2026-08-26T14:15:00Z,2461279.093750000,51.251293576606,-0.074405586254,42165.545484,400906.295022,151180884.125065,80.381817516,76.504751683,155.830601814,8.690396026,28.690396026,0.248302409,20.000000000,0.263663060,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990632536246,0.762013024442,76.201302444
2026-08-26T14:20:00Z,2461279.097222222,52.504626238028,-0.071986970425,42165.524222,401730.691173,151179887.609990,79.248675374,77.733671652,155.902286937,8.690400442,28.690400442,0.247792862,20.000000000,0.263664798,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990632768735,0.762013005942,76.201300594
2026-08-26T14:25:00Z,2461279.100694444,53.757959856431,-0.069534523349,42165.502339,402551.965468,151178886.820536,78.117820379,78.962807082,155.976310675,8.690404987,28.690404987,0.247287319,20.000000000,0.263666543,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990633008016,0.762012986900,76.201298690
2026-08-26T14:30:00Z,2461279.104166667,55.011294471889,-0.067049516427,42165.479838,403369.765450,151177882.178395,76.989276352,80.192136008,156.052647325,8.690409660,28.690409660,0.246785961,20.000000000,0.263668295,45.000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,2.990633254052,0.762012967321,76.201296732
